"Time Step","Softwood Merchantable","Softwood Other","Softwood Foliage","Softwood Fine Roots","Softwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0.59825998544693,2.04414796829224,9.29982757568359,6.66234016418457,10.3358201980591,14.1893501281738,77.3455963134766,39.4073104858398,14.1229000091553,0,0,
1,0.003726668889,0,0.1131712794,0.0110266069,0.01492473762,0.473069310188293,1.31196868419647,9.60929012298584,5.97646808624268,11.2856693267822,14.4281415939331,77.4180297851563,37.6344909667969,12.0562829971313,0,0,
2,0.01893738285,0.09524077177,0.2452582419,0.03372248635,0.04607239738,0.39424529671669,0.845915019512177,9.70299530029297,5.36141872406006,12.1548223495483,14.645092010498,77.4354019165039,35.941478729248,10.2925271987915,0,0,
3,0.04899314046,0.2724142671,0.3704535067,0.06443423778,0.08915888518,0.354620963335037,0.552540481090546,9.63283538818359,4.81002616882324,12.9479303359985,14.8416109085083,77.4153671264648,34.324764251709,8.7881555557251,0,0,
4,0.09612303972,0.50892061,0.4937880039,0.101418823,0.1425218135,0.346740871667862,0.371367007493973,9.44094848632813,4.31583642959595,13.6694097518921,15.0191831588745,77.3696899414063,32.7810096740723,7.50588226318359,0,0,
5,0.1620404124,0.7936131954,0.6145864725,0.1434276849,0.2051656097,0.36469030380249,0.263304769992828,9.16132640838623,3.87304759025574,14.3234548568726,15.1793346405029,77.3062744140625,31.3070392608643,6.4137167930603,0,0,
6,0.2481254786,1.117779732,0.7324832678,0.1894523948,0.2763898373,0.403529196977615,0.203055039048195,8.82131385803223,3.47644758224487,14.9140481948853,15.3235998153687,77.2305145263672,29.899829864502,5.48425626754761,0,0,
7,0.3555077612,1.474166751,0.8472702503,0.2386344224,0.3556473255,0.459151059389114,0.174202799797058,8.44276428222656,3.12135553359985,15.444972038269,15.4534921646118,77.1461410522461,28.5564994812012,4.69403266906738,0,0,
8,0.4851101041,1.856508493,0.9588314295,0.29022488,0.4424750507,0.528144180774689,0.1660565584898,8.04298782348633,2.80356788635254,15.9198160171509,15.5704851150513,77.0558090209961,27.2743034362793,4.02294683456421,0,0,
9,0.6376744509,2.259269953,1.067108989,0.3435634077,0.5364564657,0.607670724391937,0.171615421772003,7.63554763793945,2.51930999755859,16.3419876098633,15.6759958267212,76.9614105224609,26.0506248474121,3.45378470420837,0,0,
10,0.8137777448,2.677492857,1.17208457,0.3980664015,0.6371984482,0.695364892482758,0.186262160539627,7.23092079162598,2.26519179344177,16.7147254943848,15.7713689804077,76.8643493652344,24.8829708099365,2.97180223464966,0,0,
11,1.01384294,3.106699228,1.273766994,0.4532188177,0.74431777,0.789250195026398,0.206923007965088,6.83705186843872,2.03816938400269,17.0410995483398,15.8578777313232,76.7656707763672,23.7689590454102,2.56436777114868,0,0,
12,1.238145828,3.542827845,1.372184873,0.5085687041,0.857432425,0.887671709060669,0.231527537107468,6.45981788635254,1.83550846576691,17.3240222930908,15.936710357666,76.6661834716797,22.70631980896,2.22065758705139,0,0,
13,1.486821055,3.982188702,1.467381239,0.5637219548,0.9761568904,0.989241778850555,0.258661031723022,6.1034107208252,1.65475285053253,17.5662631988525,16.0089645385742,76.5665130615234,21.6928863525391,1.93139493465424,0,0,
14,1.759865761,4.421433449,1.559409142,0.6183383465,1.100098968,1.09279537200928,0.28734090924263,5.77066087722778,1.49369585514069,17.7704429626465,16.0756549835205,76.467170715332,20.7265892028809,1.68862724304199,0,0,
15,2.057144403,4.857530594,1.648330092,0.6721275449,1.228859901,1.19735538959503,0.316872268915176,5.46330451965332,1.35035443305969,17.9390506744385,16.1377067565918,76.368537902832,19.8054523468018,1.48553538322449,0,0,
16,2.378391027,5.287749767,1.73421061,0.724844873,1.362033129,1.30210280418396,0.346754491329193,5.18220663070679,1.22294580936432,18.0744495391846,16.1959552764893,76.2709350585938,18.927583694458,1.31627070903778,0,0,
