"Time Step","Softwood Merchantable","Softwood Other","Softwood Foliage","Softwood Fine Roots","Softwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag",
0,0,0,0,0,0,1.00514197349548,3.02628898620605,28.4423999786377,20.1128005981445,26.9174404144287,36.0323905944824,161.674301147461,104.010498046875,44.275390625,
1,0.0008330228156,0,0.247432977,0.0233499445,0.03176510707,0.798749506473541,1.94304549694061,29.4858703613281,18.0421772003174,29.434175491333,36.792839050293,161.897918701172,99.3313293457031,37.7965316772461,
2,0.005876765586,0,0.7572681904,0.07096095383,0.09845723212,0.691290438175201,1.25569403171539,29.8411674499512,16.1851806640625,31.7376613616943,37.493049621582,162.02375793457,94.8626861572266,32.2657318115234,
3,0.01842550747,0.07703413814,1.37310195,0.1344414651,0.1915791929,0.687223434448242,0.826337277889252,29.6655025482178,14.5200929641724,33.8401756286621,38.1360244750977,162.079971313477,90.5951309204102,27.5446224212646,
4,0.04144429788,0.5185225606,1.771829844,0.2094478607,0.3082110286,0.760469794273376,0.565238058567047,29.0923366546631,13.027379989624,35.7533760070801,38.7248992919922,162.085784912109,86.5196685791016,23.5168170928955,
5,0.07770317793,1.10427165,2.149261236,0.2927348614,0.4467995763,0.882387936115265,0.414071530103683,28.2318382263184,11.6894979476929,37.4883232116699,39.2625198364258,162.054473876953,82.6277236938477,20.0832748413086,
6,0.1298255622,1.813226342,2.507331133,0.3816499114,0.6063351631,1.04150652885437,0.334829956293106,27.170690536499,10.4906978607178,39.0555152893066,39.7520027160645,161.995391845703,78.9111328125,17.1583061218262,
7,0.2003100663,2.627779484,2.847552538,0.4739625752,0.7860300541,1.22850012779236,0.302638679742813,25.9784355163574,9.41684532165527,40.464916229248,40.1966247558594,161.915252685547,75.3621063232422,14.6685771942139,
8,0.2915399969,3.532556534,3.171178341,0.5677890778,0.9851619005,1.43576765060425,0.301123708486557,24.7104263305664,8.45525360107422,41.7259750366211,40.5997428894043,161.818984985352,71.9732055664063,12.551326751709,
9,0.4057857692,4.513767719,3.479285717,0.6615509391,1.202991247,1.65710473060608,0.319429218769073,23.4102897644043,7.5945348739624,42.8476600646973,40.9647102355957,161.710220336914,68.7373733520508,10.7528400421143,
10,0.5452029109,5.558831692,3.772823095,0.7539455295,1.438716888,1.88744699954987,0.350297719240189,22.1119785308838,6.82446813583374,43.8384780883789,41.2948303222656,161.591766357422,65.6478729248047,9.22713661193848,
11,0.7118270993,6.656144619,4.052639961,0.8439208269,1.691455245,2.12266874313354,0.388833314180374,20.841495513916,6.13587665557861,44.7064971923828,41.5932922363281,161.465759277344,62.6982650756836,7.93485260009766,
12,0.907567203,7.794932365,4.319506645,0.9306514263,1.960233927,2.35942316055298,0.431703418493271,19.6183204650879,5.52052021026611,45.4593696594238,41.8631591796875,161.333908081055,59.8824272155762,6.84227418899536,
13,1.134196281,8.965150833,4.574127197,1.013515353,2.243996143,2.5950140953064,0.476622343063354,18.4566192626953,4.97099781036377,46.1043510437012,42.1073341369629,161.197525024414,57.1945152282715,5.92052412033081,
14,1.393342018,10.15742207,4.817151546,1.092068791,2.54160881,2.82729148864746,0.522014856338501,17.3662357330322,4.4806604385376,46.6483192443848,42.3285522460938,161.057693481445,54.628963470459,5.14485931396484,
15,1.686476469,11.36299324,5.049180984,1.166024327,2.851876736,3.05456614494324,0.566795527935028,16.3535270690918,4.04353332519531,47.0977973937988,42.5293617248535,160.915283203125,52.1804618835449,4.49407005310059,
16,2.014904737,12.57370377,5.270775795,1.235226274,3.173557281,3.27553677558899,0.61022287607193,15.4220533370972,3.65424585342407,47.4589614868164,42.7121238708496,160.770980834961,49.8439521789551,3.94997072219849,
17,2.379754305,13.78196621,5.482458591,1.299630642,3.505377293,3.48923063278198,0.651800930500031,14.5731534957886,3.30796980857849,47.7376747131348,42.8790130615234,160.625366210938,47.6146087646484,3.49696230888367,
18,2.781964302,14.98075676,5.684718609,1.359284043,3.846047878,3.69495034217834,0.691211819648743,13.8064212799072,3.00036191940308,47.9394836425781,43.0320205688477,160.478927612305,45.4878273010254,3.12165880203247,
19,3.222274303,16.16360283,5.878015518,1.414304972,4.194279671,3.89223003387451,0.728268802165985,13.1201009750366,2.72751426696777,48.0696487426758,43.1729545593262,160.33203125,43.4592170715332,2.81256890296936,
20,3.701215506,17.32458115,6.062781811,1.464868665,4.5487957,4.0807957649231,0.762882173061371,12.5114049911499,2.48591041564941,48.1331443786621,43.3034591674805,160.184982299805,41.5245933532715,2.55982422828674,
21,4.219100952,18.45830917,6.239425182,1.511190653,4.90834713,4.26053237915039,0.795034646987915,11.9767866134644,2.27238440513611,48.134693145752,43.4250106811523,160.038040161133,39.6799507141113,2.35494709014893,
22,4.77601862,19.55994225,6.408330441,1.553515673,5.271717072,4.43145370483398,0.824762344360352,11.512152671814,2.0840847492218,48.0787544250488,43.538932800293,159.89143371582,37.9214744567871,2.19065093994141,
23,5.371822834,20.62517166,6.569859982,1.592105985,5.63773632,4.59367752075195,0.852140605449677,11.1130475997925,1.91844356060028,47.969554901123,43.6464004516602,159.745330810547,36.2455215454102,2.06067299842834,
24,6.006131649,21.65022469,6.724358082,1.627233624,6.005285263,4.74740314483643,0.877272725105286,10.7747898101807,1.7731466293335,47.811092376709,43.7484474182129,159.599884033203,34.6486015319824,1.95962822437286,
25,6.678322315,22.63184357,6.872150421,1.659171581,6.373302937,4.89289283752441,0.900280833244324,10.4925937652588,1.64610826969147,47.6071548461914,43.8459968566895,159.455215454102,33.1273880004883,1.88288640975952,
26,7.387528896,23.56729698,7.013545513,1.688189507,6.740789413,5.0304536819458,0.921299040317535,10.2616624832153,1.5354483127594,47.3613166809082,43.9398384094238,159.311416625977,31.6787033081055,1.82646608352661,
27,8.132644653,24.45435715,7.148835659,1.714548349,7.106808662,5.16042757034302,0.940467953681946,10.0772590637207,1.43947160243988,47.076961517334,44.0306663513184,159.168594360352,30.2994956970215,1.78694534301758,
28,9.686794281,24.14439392,7.086402416,1.730972171,7.352732658,5.27104902267456,0.957156658172607,9.9188060760498,1.35612106323242,46.7572860717773,44.1180877685547,159.026748657227,28.9891414642334,1.75594472885132,
29,10.4228878,24.59460831,7.17757225,1.74772644,7.619579315,5.3628568649292,0.971267998218536,9.77807331085205,1.28365206718445,46.4053840637207,44.2015609741211,158.885803222656,27.744514465332,1.73014557361603,
